amount_digits,amount_words,bank,company_name,date_created,date_due,drawer_name,payer_name_address,place_created,rib,barcode_validates_traite,barcode_matches_traite,signature_detected,traite_num,fraud_label
3929.687,trois mille neuf cent vingt-neuf dinars zéro six huit sept,Muller Valentin SA,Grégoire SA,15/12/2024,14/01/2025,Luc Mathieu-Colas,"209, boulevard Geneviève Barbe 40367 Laroche",Dupuis,20068606608541320006,True,True,True,434932502545,0
9631.339,neuf mille six cent trente et un dinars zéro trois trois neuf,Hamel,Albert,12/07/2024,29/03/2025,Aimé Albert,rue de Guillou 33235 Muller,Lemaître,14869781725814993254,True,True,True,173022703378,0
1952.678,mille neuf cent cinquante-deux dinars zéro six sept huit,Dupré,Martineau S.A.S.,09/11/2024,06/03/2025,Daniel Aubry,boulevard de Meyer 34388 Lacroix-sur-Wagner,Martins,27986908412961905287,True,True,True,698737479634,0
5420.303,cinq mille quatre cent vingt dinars zéro trois zéro trois,Morin et Fils,Deschamps,19/04/2025,01/05/2025,Laure Bertrand,"34, avenue de Courtois 90537 PetitBourg",Saint ÉmilieVille,43963696448770888973,True,True,True,407311484139,0
3738.062,trois mille sept cent trente-huit dinars zéro zéro six deux,Marchal,Perret Rodriguez SA,04/01/2025,21/04/2025,Joseph Lacroix,"6, avenue de Legendre 95258 Goncalves",Pasquier,75339728317601640516,True,True,True,193379984954,0
8586.623,huit mille cinq cent quatre-vingt-six dinars zéro six deux trois,Da Costa Leroux et Fils,Laroche,05/03/2025,06/04/2025,Laurent Morel,"67, rue Maurice Laurent 84297 Boulanger-la-Forêt",Sainte Adèlenec,64747777624394521552,True,True,True,592034016653,0
9554.629,neuf mille cinq cent cinquante-quatre dinars zéro six deux neuf,Morel,Bertin S.A.,28/09/2024,08/10/2024,Théophile Gay,"96, avenue Verdier 24360 Sainte Adrien",Tanguy-sur-Mer,17837208773880629529,True,True,True,474010721878,0
7144.631,sept mille cent quarante-quatre dinars zéro six trois un,Dupré,Ferrand,19/06/2024,03/03/2025,Henri Guillou,"75, chemin de Lenoir 17296 Chartiernec",Chauvet,69412650874696400845,True,True,True,333156770265,0
8787.062,huit mille sept cent quatre-vingt-sept dinars zéro zéro six deux,Perret Delorme S.A.S.,Renault,27/10/2024,27/10/2024,Suzanne Pichon,"88, rue de Delmas 11390 Dupréboeuf",Saint Margot-la-Forêt,79773232039532815825,True,True,True,885728087295,0
6718.122,six mille sept cent dix-huit dinars zéro un deux deux,Bourdon,Lambert S.A.,08/08/2024,04/10/2024,Michel Legros,"77, rue Bègue 88105 Sainte Matthieu-les-Bains",BarthelemyVille,68956893359379582627,True,True,True,272976979321,0
9424.284,neuf mille quatre cent vingt-quatre dinars zéro deux huit quatre,Martineau,Lucas,14/05/2025,15/05/2025,Margaud du Raymond,"82, chemin Odette Hoarau 81383 Vallée-sur-Mer",Besnard,63267009092620653088,True,True,True,782016836343,0
9644.168,neuf mille six cent quarante-quatre dinars zéro un six huit,Gimenez,Daniel,10/09/2024,10/12/2024,Daniel Fernandes,"23, avenue Vincent Allard 59525 Saint Victoire",PerrierVille,63964600814018738206,True,True,True,970047277656,0
1086.414,mille quatre-vingt-six dinars zéro quatre un quatre,Benard SARL,Martel,16/03/2025,10/05/2025,Paulette Tanguy,"74, rue Amélie Marques 85795 Ramos-les-Bains",RodriguezVille,45736875874154817518,True,True,True,433391959419,0
9878.555,neuf mille huit cent soixante-dix-huit dinars zéro cinq cinq cinq,Dufour,Perez et Fils,07/01/2025,26/04/2025,Édith Girard,"83, chemin Patricia Gillet 35870 FleuryBourg",MoreauVille,98787731350589401536,True,True,True,246316204099,0
2175.172,deux mille cent soixante-quinze dinars zéro un sept deux,Bourgeois Lefebvre S.A.S.,Faivre SA,30/01/2025,12/02/2025,Georges Marchand,"4, chemin Pauline Tessier 21720 Letellier-sur-Wagner",Saint ThierryBourg,26077055135857884563,True,True,True,28255235797,0
1828.591,mille huit cent vingt-huit dinars zéro cinq neuf un,Sanchez Allain et Fils,Chauvin,18/05/2025,19/05/2025,Bernard Grenier-Leleu,"119, boulevard Aurélie Peltier 47170 Jourdanboeuf",Sainte Valentine,02775956121086226834,True,True,True,118069517293,0
1164.697,mille cent soixante-quatre dinars zéro six neuf sept,Gay Schmitt et Fils,Neveu,07/11/2024,27/03/2025,Laetitia du Turpin,"445, chemin Lebreton 31868 Colasnec",Leroy,64183210407895566708,True,True,True,934130933479,0
2170.5,deux mille cent soixante-dix dinars zéro cinq,Poirier,Lecomte,26/09/2024,05/12/2024,Laurence Godard,"9, rue Guillot 92516 Berthelot-sur-Mer",Imbertdan,98691598598681496553,True,True,True,869508288813,0
8233.05,huit mille deux cent trente-trois dinars zéro zéro cinq,Jacquot,Louis,29/05/2024,04/07/2024,Honoré Dupré-Blin,"785, boulevard de Rémy 45819 Dupuy-la-Forêt",Grondin,87531940610199248911,True,True,True,790792195524,0
8588.845,huit mille cinq cent quatre-vingt-huit dinars zéro huit quatre cinq,Olivier Fabre et Fils,Bernier S.A.S.,05/08/2024,05/12/2024,Laure Ramos,chemin Dumas 46283 Garcia,Marchand-la-Forêt,50532101006284304590,True,True,True,605824576198,0
9442.755,neuf mille quatre cent quarante-deux dinars zéro sept cinq cinq,Baudry SARL,Henry,13/09/2024,01/11/2024,Valentine Besnard,"5, rue Valentine François 51603 Saint Henri-les-Bains",Bailly-sur-Clément,76774700997650255302,True,True,True,274851785492,0
4633.403,quatre mille six cent trente-trois dinars zéro quatre zéro trois,Diallo Barbe S.A.R.L.,Seguin,08/07/2024,09/02/2025,Simone Léger,"290, rue Aubry 84183 Dupuis",Courtois,75143009593736974606,True,True,True,172121093022,0
7129.87,sept mille cent vingt-neuf dinars zéro huit sept,Klein,Lagarde,24/05/2024,29/10/2024,Gabriel Hervé,"41, boulevard Margaud Philippe 54217 Jean-les-Bains",Blanchard,94712097006674715058,True,True,True,64731212366,0
8096.024,huit mille quatre-vingt-seize dinars zéro zéro deux quatre,Bigot et Fils,Navarro,26/07/2024,22/11/2024,Luc Maillard du Navarro,"7, chemin de Texier 32126 Saint MargotVille",Verdier,92069765490367162411,True,True,True,837691416447,0
1085.682,mille quatre-vingt-cinq dinars zéro six huit deux,Lopes,Paul,12/03/2025,29/03/2025,Stéphane Nguyen,chemin Anouk Le Roux 41786 Saint Vincentnec,Hervénec,94974401997522297832,True,True,True,836717894940,0
7686.091,sept mille six cent quatre-vingt-six dinars zéro zéro neuf un,Fleury,Blanc,22/12/2024,29/12/2024,Céline Leleu,"9, avenue Bernard Roche 66470 Boulay-sur-Didier",SamsonVille,34445057075389839381,True,True,True,292932052116,0
7289.772,sept mille deux cent quatre-vingt-neuf dinars zéro sept sept deux,Rivière,Navarro,22/12/2024,16/01/2025,Thomas Raynaud,"94, boulevard Cordier 12330 Sainte Georges-les-Bains",Auger-la-Forêt,05871594018323875807,True,True,True,775279701940,0
5891.709,cinq mille huit cent quatre-vingt-onze dinars zéro sept zéro neuf,Pineau Courtois S.A.,Georges,06/09/2024,14/02/2025,Élisabeth Joseph,avenue Zacharie Guillou 34940 Sainte Monique,Coste,79575419714101607938,True,True,True,539705335953,0
2314.566,deux mille trois cent quatorze dinars zéro cinq six six,Barre,Tanguy,24/04/2025,01/05/2025,Michelle Pineau,"79, avenue Bertrand 40862 Munoznec",Dupré-les-Bains,87423809723523234345,True,True,True,137597951504,0
6596.042,six mille cinq cent quatre-vingt-seize dinars zéro zéro quatre deux,Roussel,Roussel,04/12/2024,28/03/2025,Susanne de Mace,"81, chemin Laurence Jacquot 50765 Sainte Dominiquenec",Toussaint,73395920421688649267,True,True,True,978044444017,0
3643.042,trois mille six cent quarante-trois dinars zéro zéro quatre deux,Lefort Pottier SARL,Maurice SA,13/03/2025,29/04/2025,Benjamin Gay-Perrin,"14, chemin Lefèvre 37467 Perret",Moulin,54648290063491402511,True,True,True,453252908058,0
7878.261,sept mille huit cent soixante-dix-huit dinars zéro deux six un,Legendre,Picard Roger SA,28/12/2024,09/05/2025,Paul Guillon-Meunier,"57, rue de Turpin 36793 BarbierBourg",Barre-la-Forêt,62262629587541458034,True,True,True,757736637113,0
1191.629,mille cent quatre-vingt-onze dinars zéro six deux neuf,Guillet,Philippe,28/08/2024,21/02/2025,Georges Weber,"14, avenue de Paris 02679 Sainte Victoire",Diallo,46384514569623817404,True,True,True,252539181274,0
3354.262,trois mille trois cent cinquante-quatre dinars zéro deux six deux,Potier,Bousquet Aubert S.A.S.,13/01/2025,22/03/2025,Thomas Pereira,"60, rue de Robin 37434 Roger-sur-Mer",Gimenez,27469746784058911525,True,True,True,581391931090,0
7370.595,sept mille trois cent soixante-dix dinars zéro cinq neuf cinq,Noël,Boucher Leduc SARL,03/12/2024,24/01/2025,Astrid Blanchard,"68, avenue Garcia 33649 Sainte Alexandrie-la-Forêt",Weber-sur-Diaz,47461424545058046102,True,True,True,412060416063,0
4281.927,quatre mille deux cent quatre-vingt-un dinars zéro neuf deux sept,Bourdon,Georges Laurent S.A.S.,04/07/2024,23/03/2025,Tristan Andre-Bousquet,"26, rue Morel 38604 Saint Noël-les-Bains",De Sousaboeuf,09598326672749761571,True,True,True,767695941207,0
7568.789,sept mille cinq cent soixante-huit dinars zéro sept huit neuf,Chauvet,Legros Bègue SA,18/12/2024,09/03/2025,Laurence David,"47, rue Marianne Tessier 69760 Bonnet",Baron-sur-Mer,35667795708651209160,True,True,True,137302403040,0
1678.841,mille six cent soixante-dix-huit dinars zéro huit quatre un,Girard SARL,Dupré S.A.,17/04/2025,09/05/2025,Christophe Moreno-Leclerc,"49, chemin Becker 19907 Bernard-sur-Baron",Dumont,99807572502464317561,True,True,True,277198114684,0
6405.086,six mille quatre cent cinq dinars zéro zéro huit six,Garcia Pelletier S.A.,Peltier SA,29/03/2025,14/04/2025,Margot-Agnès Roger,avenue Laine 15863 Sainte Carolineboeuf,AllainBourg,38842134511594221062,True,True,True,551697162395,0
8730.807,huit mille sept cent trente dinars zéro huit zéro sept,Albert,Petitjean et Fils,17/08/2024,12/04/2025,Antoine Voisin,"8, avenue de Legrand 11429 Caron-sur-François",Paris,09609649658886859073,True,True,True,698466125177,0
8095.84,huit mille quatre-vingt-quinze dinars zéro huit quatre,De Sousa,Weber,05/01/2025,21/04/2025,Philippine de Boutin,"836, avenue Maillot 58508 ChauveauBourg",Launay,01106208731472836148,True,True,True,731486718843,0
1066.25,mille soixante-six dinars zéro deux cinq,Clément SA,Torres Reynaud SA,29/08/2024,21/01/2025,Brigitte Vallet,"909, chemin de Leconte 16520 Chartier",MaceVille,75467027139349128307,True,True,True,317691853029,0
4613.335,quatre mille six cent treize dinars zéro trois trois cinq,Meyer Descamps S.A.R.L.,Duval,11/01/2025,12/03/2025,Bernard Marty-Berthelot,boulevard Maurice Gilbert 71885 Bonneau-sur-Parent,Michel-la-Forêt,61775643192744500681,True,True,True,197692848598,0
698.893,six cent quatre-vingt-dix-huit dinars zéro huit neuf trois,Arnaud S.A.,Marty,06/09/2024,03/01/2025,Noémi-Antoinette Blanchard,boulevard de Fabre 48529 Leblanc-les-Bains,Langlois,23930186466161478930,True,True,True,359581516648,0
1271.681,mille deux cent soixante et onze dinars zéro six huit un,Faivre Maurice SA,Roux S.A.,20/03/2025,14/05/2025,Grégoire Pichon,"576, boulevard Noël 44540 Sainte Margaretdan",Martineau-la-Forêt,19970910313118518168,True,True,True,240713234664,0
1399.845,mille trois cent quatre-vingt-dix-neuf dinars zéro huit quatre cinq,Gosselin Dos Santos SARL,Martins SARL,23/10/2024,13/11/2024,Isaac Mathieu de Mahe,"96, rue de Charrier 71953 Guérin",TraoreVille,48997895994425732872,True,True,True,19053418099,0
9125.524,neuf mille cent vingt-cinq dinars zéro cinq deux quatre,Baudry,Bouvier S.A.S.,17/11/2024,14/05/2025,Patricia Charpentier,"6, boulevard Jacques 88470 Sainte CamilleBourg",Nguyen,89462738680552324426,True,True,True,440615847120,0
3047.623,trois mille quarante-sept dinars zéro six deux trois,Louis,Ruiz,12/12/2024,27/12/2024,Denise Garnier,"635, rue de Huet 14249 Philippe",Marion,26614839808297338039,True,True,True,833880226158,0
6586.377,six mille cinq cent quatre-vingt-six dinars zéro trois sept sept,Barthelemy,Schmitt et Fils,13/03/2025,15/05/2025,Sophie-Margot Techer,"81, chemin Stéphanie Paris 75157 Guillou",Sainte Célinadan,76398045326117644429,True,True,True,60291064054,0
5515.809,cinq mille cinq cent quinze dinars zéro huit zéro neuf,Pinto,Imbert SA,13/10/2024,01/02/2025,Alice-Stéphanie Masse,"378, avenue Henry 43831 Saint Augustin-sur-Mer",Navarro-les-Bains,83727652317528051159,True,True,True,409584822948,0
4067.614,quatre mille soixante-sept dinars zéro six un quatre,Potier,Lejeune,14/05/2025,17/05/2025,Anastasie Lefort Le François,avenue de Jacquet 32841 Gérard-sur-Le Roux,Saint Adèle-la-Forêt,62846222731416914340,True,True,True,721415763294,0
5611.292,cinq mille six cent onze dinars zéro deux neuf deux,Ruiz S.A.S.,Dumont,18/02/2025,23/04/2025,Margot Rodriguez,"68, chemin Ruiz 23319 Gosselin",Olivier-sur-Mer,49187757740241952891,True,True,True,154618722248,0
1987.799,mille neuf cent quatre-vingt-sept dinars zéro sept neuf neuf,Peltier SARL,Roussel,22/07/2024,20/08/2024,Christelle Godard du Brunet,"127, chemin Margaret Fouquet 30554 Jacquet-sur-Chrétien",Rey-sur-Mer,40180640757308332887,True,True,True,862466472260,0
688.36,six cent quatre-vingt-huit dinars zéro trois six,Pinto,Tessier Potier S.A.S.,21/11/2024,15/05/2025,Laurent Gaudin du Renard,"14, avenue de Guichard 70205 Denis-la-Forêt",Saint Richarddan,51065828295116360603,True,True,True,566528976346,0
2821.427,deux mille huit cent vingt et un dinars zéro quatre deux sept,Michel,Louis S.A.R.L.,19/07/2024,04/01/2025,Anastasie Delaunay,"61, rue Julien 13959 Rodrigues",Morel,32875731048971809155,True,True,True,518959874397,0
7376.438,sept mille trois cent soixante-seize dinars zéro quatre trois huit,Chauvet,Thierry Munoz S.A.R.L.,17/02/2025,08/05/2025,Augustin Moreau,"98, rue Philippine Hervé 30408 Saint Oliviernec",Albert-sur-Andre,41667851382102408952,True,True,True,919599132354,0
6208.614,six mille deux cent huit dinars zéro six un quatre,Wagner Meunier SARL,Lefort S.A.S.,09/05/2025,21/05/2025,Adélaïde Bonneau,"262, chemin de Mercier 67657 GuillouVille",LelièvreVille,86545286365186200220,True,True,True,427931947563,0
5743.575,cinq mille sept cent quarante-trois dinars zéro cinq sept cinq,Guillot,Hamon SA,14/10/2024,20/01/2025,Stéphane Guyon,"6, chemin de Weiss 22950 Grenierdan",Dufour,21357975412838483047,True,True,True,786250029907,0
1744.952,mille sept cent quarante-quatre dinars zéro neuf cinq deux,Bourgeois SA,Cousin S.A.,20/03/2025,03/05/2025,Marcelle Buisson,"14, rue de Renault 45982 Sainte Richard",Sainte Bernadettenec,66204576807237292946,True,True,True,484228819436,0
7984.798,sept mille neuf cent quatre-vingt-quatre dinars zéro sept neuf huit,Jacquot,Lemoine,05/05/2025,14/05/2025,Michèle Paul,avenue de Chevalier 55716 Morvan,Lebrun,39661701453653288738,True,True,True,86340000596,0
1316.324,mille trois cent seize dinars zéro trois deux quatre,Brun,Cohen,27/09/2024,19/01/2025,Marine Cohen,"79, rue Denis Leconte 81515 Blanchet",Martinez,41907678356702625644,True,True,True,932621136364,0
9053.63,neuf mille cinquante-trois dinars zéro six trois,Merle Imbert SARL,Marchand SA,13/01/2025,08/04/2025,Nathalie Duhamel,"67, avenue Paulette Garnier 73240 Poulainnec",Delahaye,86888422079505398025,True,True,True,271779903099,0
3744.574,trois mille sept cent quarante-quatre dinars zéro cinq sept quatre,Charles SARL,Didier Paul S.A.R.L.,06/07/2024,16/07/2024,Frédérique Raymond,"23, rue Sauvage 22830 Fernandezboeuf",Lacombe,94574336344762181544,True,True,True,601574332654,0
9181.789,neuf mille cent quatre-vingt-un dinars zéro sept huit neuf,Étienne Grégoire S.A.,Barbier,19/12/2024,13/02/2025,Eugène Joly,"6, boulevard de Tessier 59922 DumontBourg",Sainte Anastasiedan,99932751640734214568,True,True,True,453229411741,0
1342.063,mille trois cent quarante-deux dinars zéro zéro six trois,Lebreton S.A.R.L.,Marchand SARL,17/03/2025,25/04/2025,Marie de la Valette,"18, boulevard Brunet 38268 Breton",Perrot,22907155723373044319,True,True,True,985776159823,0
6088.233,six mille quatre-vingt-huit dinars zéro deux trois trois,Marchand,Pierre,10/09/2024,10/10/2024,Thibault Joubert de Gaudin,"622, rue de Leroy 11146 Aubry-sur-Gilles",Gosselin,31134284800623087705,True,True,True,457723843956,0
9352.462,neuf mille trois cent cinquante-deux dinars zéro quatre six deux,Clerc,Mahe et Fils,18/01/2025,22/05/2025,Olivier Moulin du Léger,rue de Barbier 56525 Barthelemy-sur-Mer,Seguin,16853879476820438674,True,True,True,344214436005,0
4584.511,quatre mille cinq cent quatre-vingt-quatre dinars zéro cinq un un,Samson Lemaître S.A.S.,Alexandre,22/04/2025,07/05/2025,Catherine Julien-Guillot,avenue Paul Blanchard 13151 Jacob,Humbert-sur-Menard,71685643580495079302,True,True,True,953322476644,0
2907.078,deux mille neuf cent sept dinars zéro zéro sept huit,Aubert,Verdier,08/05/2025,11/05/2025,Paul Buisson,"17, avenue Bodin 58346 Guillon",Rousseau,94656820311705424617,True,True,True,309454714700,0
8918.036,huit mille neuf cent dix-huit dinars zéro zéro trois six,Nicolas S.A.R.L.,Renault,01/12/2024,27/03/2025,Gilles Petitjean,"70, boulevard Guilbert 24471 HervéBourg",Bodindan,24990468869602097514,True,True,True,604578512126,0
8832.496,huit mille huit cent trente-deux dinars zéro quatre neuf six,Besson,Rodriguez SA,08/09/2024,08/05/2025,Mathilde Faivre,"986, rue Morel 18830 Reynaud",Pineau-les-Bains,09907418458356197965,True,True,True,981856412580,0
2879.327,deux mille huit cent soixante-dix-neuf dinars zéro trois deux sept,Goncalves,Raymond,09/12/2024,05/01/2025,Lucy Allain,"587, rue Alexandrie Rémy 86212 Guillon-la-Forêt",Sainte Rémy,86324443470238913589,True,True,True,721413075429,0
4126.102,quatre mille cent vingt-six dinars zéro un zéro deux,Picard,Mace Roux S.A.S.,23/03/2025,18/05/2025,Monique de la Bazin,rue de Aubert 03551 Humbert,Pasquier,23047551918478546328,True,True,True,226303975452,0
4229.293,quatre mille deux cent vingt-neuf dinars zéro deux neuf trois,Munoz S.A.,Guyon,29/10/2024,11/05/2025,Françoise Le Dupré,"35, boulevard Zacharie Morvan 45792 Bourdon",Olivier-sur-Mer,51790628569550029436,True,True,True,611083679372,0
9900.536,neuf mille neuf cents dinars zéro cinq trois six,Fischer,Pires,15/09/2024,11/12/2024,Patrick Le Voisin,"24, boulevard de Gillet 50938 Leleu",Charpentier,58768181830741353857,True,True,True,313713286789,0
2347.207,deux mille trois cent quarante-sept dinars zéro deux zéro sept,Letellier,Pichon,24/02/2025,03/03/2025,Frédérique Renaud,"22, boulevard de Dupuis 31151 Jean-sur-Mer",Saint Antoinette,68133150690755470991,True,True,True,787397615467,0
693.632,six cent quatre-vingt-treize dinars zéro six trois deux,Guibert,Thomas Dias S.A.,22/11/2024,11/12/2024,Valentine Gilles,"14, boulevard Grondin 68856 Saint Arnaude",Da Silva,46020697281801376339,True,True,True,923405821631,0
8509.944,huit mille cinq cent neuf dinars zéro neuf quatre quatre,Léger S.A.S.,Bouvet Charpentier SA,24/10/2024,04/05/2025,Catherine Daniel Le De Sousa,"474, chemin Goncalves 93569 Wagner",Garcia,75584040826374543783,True,True,True,372530937217,0
5041.688,cinq mille quarante et un dinars zéro six huit huit,Launay,Roger Bourdon et Fils,26/03/2025,23/04/2025,Marguerite de Maréchal,"67, rue Bertin 49341 Chrétien-la-Forêt",Hernandez,21587599337703762308,True,True,True,797070599637,0
5607.889,cinq mille six cent sept dinars zéro huit huit neuf,Jacquot,Guibert,31/12/2024,02/01/2025,Antoine Martineau-Lemaire,"96, chemin de Blot 16754 Tessier",Louis-sur-Vasseur,41858880112629232644,True,True,True,150140720276,0
5153.339,cinq mille cent cinquante-trois dinars zéro trois trois neuf,Legros,Letellier,24/11/2024,23/12/2024,Sylvie Boulay-Tanguy,"818, chemin de Garnier 72214 Saint Henriette",Gérard-les-Bains,45444513595392122087,True,True,True,937712125025,0
9251.799,neuf mille deux cent cinquante et un dinars zéro sept neuf neuf,Robin,Bazin S.A.,11/12/2024,06/03/2025,Sophie de De Sousa,"17, avenue de Maillet 39840 Sainte Pierre",Saint Inès,20867584762920755749,True,True,True,47558299693,0
6683.368,six mille six cent quatre-vingt-trois dinars zéro trois six huit,Georges SA,Allard SA,03/11/2024,16/03/2025,Lucas Arnaud de la Gosselin,"77, rue Maggie Peltier 69236 Lemaire",Tanguy,34586431970471110452,True,True,True,581508758920,0
2045.772,deux mille quarante-cinq dinars zéro sept sept deux,Barthelemy,Bernard Boulay SA,11/07/2024,19/04/2025,Pauline Rossi-Gillet,"35, rue Monique Salmon 15132 BonneauVille",Leclerc,48215894737584339064,True,True,True,107663194642,0
9775.104,neuf mille sept cent soixante-quinze dinars zéro un zéro quatre,Moulin et Fils,Joseph,08/01/2025,14/01/2025,Luc Navarro,"30, chemin de Rey 93689 Verdier",Leleu-sur-Maillet,94792653024773386754,True,True,True,355702244305,0
2413.297,deux mille quatre cent treize dinars zéro deux neuf sept,Ribeiro,Peltier Dijoux S.A.,23/08/2024,18/12/2024,Antoine-Roger Maury,"88, chemin Weiss 85490 Juliennec",Gérard-la-Forêt,06324029700949771414,True,True,True,203480347115,0
4503.153,quatre mille cinq cent trois dinars zéro un cinq trois,Ribeiro Neveu S.A.,Guillot,11/03/2025,02/05/2025,Andrée Guilbert,"782, chemin Martins 42762 Sainte Camilleboeuf",Saint Bernard-la-Forêt,43589409614788368204,True,True,True,740354299038,0
2395.124,deux mille trois cent quatre-vingt-quinze dinars zéro un deux quatre,Voisin Guillaume SARL,Legrand S.A.,12/01/2025,09/05/2025,Aimé Lecomte de la Traore,"43, rue Françoise Lebrun 97446 Turpinboeuf",Bertin,93253126615434653584,True,True,True,564185377645,0
8655.921,huit mille six cent cinquante-cinq dinars zéro neuf deux un,Samson,Perrin,30/04/2025,12/05/2025,Emmanuelle Lemaître,"4, rue de Durand 33666 Delorme-sur-Fouquet",Collet-les-Bains,59388968395875147332,True,True,True,361619890171,0
6096.238,six mille quatre-vingt-seize dinars zéro deux trois huit,Boucher,Didier Dias et Fils,20/08/2024,14/01/2025,Victoire Jacques,"32, boulevard de Camus 23655 Saint Virginie",Saint PauletteVille,58612811793709166211,True,True,True,152095066478,0
7262.976,sept mille deux cent soixante-deux dinars zéro neuf sept six,Carpentier S.A.S.,Mercier Neveu S.A.,15/04/2025,15/05/2025,Michelle Lopez,"10, boulevard de Bouchet 02117 Mace-la-Forêt",RenaultVille,04627713976477172180,True,True,True,895510198977,0
4659.342,quatre mille six cent cinquante-neuf dinars zéro trois quatre deux,Pereira S.A.S.,Colin,18/02/2025,24/04/2025,Georges Olivier,"26, avenue Céline Moreno 31813 Ribeiro",Saint Éricnec,65872376428227408739,True,True,True,413945786992,0
5036.143,cinq mille trente-six dinars zéro un quatre trois,Perez Didier S.A.R.L.,Diaz SA,23/12/2024,25/03/2025,Brigitte Evrard,"89, rue Denis Pottier 35656 Descamps-sur-David",Gomes,80020980884777766109,True,True,True,645134831738,0
5340.649,cinq mille trois cent quarante dinars zéro six quatre neuf,Goncalves,Garnier,17/07/2024,05/05/2025,Isabelle-Nath Labbé,"91, chemin de Vincent 13547 Sanchez",Texier,86709201664903086861,True,True,True,677612719605,0
3807.977,trois mille huit cent sept dinars zéro neuf sept sept,Lebreton,Martinez,09/01/2025,27/03/2025,Henriette Hamon,"79, boulevard Collet 31830 Saint René-les-Bains",Mendès-les-Bains,47950064678415440477,True,True,True,428378557598,0
4991.627,quatre mille neuf cent quatre-vingt-onze dinars zéro six deux sept,Hebert,Robin SA,22/09/2024,09/02/2025,Laetitia Henry,avenue Pons 71668 CordierBourg,Saint Adrienne,70232479410746109501,True,True,True,101164603756,0
4482.061,quatre mille quatre cent quatre-vingt-deux dinars zéro zéro six un,Klein S.A.R.L.,Collin,09/01/2025,05/05/2025,Aurélie Pages,"326, chemin Hernandez 34604 Andre",Gay,78581369083448504972,True,True,True,460746747880,0
4523.501,quatre mille cinq cent vingt-trois dinars zéro cinq zéro un,Mace Toussaint S.A.R.L.,Alves SARL,16/09/2024,23/03/2025,Élodie Albert de Dufour,chemin Zoé Legendre 48923 Besnard,Perret,95411571109079013933,True,True,True,905445572632,0
7346.903,sept mille trois cent quarante-six dinars zéro neuf zéro trois,Voisin Bouvier S.A.,Ribeiro Lebrun S.A.S.,21/04/2025,22/05/2025,Margaud Klein,"75, avenue Aimée Noël 72304 Morvan-sur-Arnaud",Micheldan,78778673133809851640,True,True,True,781439126991,0
